EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,YearsAtCompany,YearsSinceLastPromotion,MonthlyIncome,WorkLifeBalance,JobSatisfaction,PerformanceRating,CommuteDistance,NumberOfCompaniesWorked,Attrition
29,35,Male,Single,Engineering,Junior,26,6,86208,4,2,3,23,5,0
30,32,Male,Married,Sales,Mid-Level,69,0,66388,4,1,3,13,4,0
31,34,Female,Single,Marketing,Manager,27,7,78174,2,4,3,14,2,0
32,41,Male,Married,Marketing,Senior,71,0,128691,1,1,4,2,4,0
33,22,Male,Married,Marketing,Mid-Level,77,6,75367,3,4,2,14,2,0
34,50,Male,Single,Engineering,Senior,49,5,71955,3,3,4,49,7,0
35,38,Female,Single,Engineering,Senior,21,9,88586,1,3,4,21,9,0
36,38,Male,Married,Marketing,Junior,33,9,61256,1,2,1,46,9,1
37,33,Male,Married,Marketing,Junior,51,8,129320,1,2,2,28,7,1
38,34,Male,Divorced,Marketing,Junior,81,3,145521,3,4,3,6,6,0
39,29,Female,Single,Marketing,Senior,6,7,115521,2,1,1,16,7,1
40,36,Female,Single,Sales,Junior,17,6,125999,1,4,4,8,9,0
41,36,Male,Married,Engineering,Senior,47,2,67543,1,2,3,28,7,0
42,26,Female,Married,Engineering,Junior,5,9,86442,2,4,4,44,9,0
43,38,Female,Single,Engineering,Junior,49,0,138382,4,4,1,16,9,0
44,22,Female,Single,Engineering,Mid-Level,74,0,100601,3,4,3,11,6,0
45,38,Female,Married,Sales,Manager,12,6,109302,3,4,3,42,1,0
46,39,Male,Single,Marketing,Junior,58,6,146200,3,4,2,5,8,0
47,50,Female,Single,Marketing,Mid-Level,37,8,113082,2,3,1,48,8,1
48,33,Female,Married,Sales,Mid-Level,51,0,42619,2,1,3,6,5,0
49,29,Female,Single,Marketing,Junior,77,6,130905,1,3,4,26,3,0
50,31,Male,Single,Sales,Mid-Level,4,7,108542,2,3,2,48,9,1
51,38,Male,Single,Engineering,Senior,53,0,71555,2,1,3,48,7,0
52,26,Male,Married,Engineering,Mid-Level,48,0,155777,3,1,3,25,7,0
53,22,Female,Single,Sales,Senior,37,8,144757,1,1,2,26,3,1
54,48,Female,Single,Engineering,Senior,66,9,156189,4,2,4,28,6,0
55,36,Female,Married,Marketing,Junior,45,1,87904,1,2,3,46,9,0
56,32,Male,Divorced,Sales,Manager,62,3,133464,4,2,3,45,9,0
57,26,Female,Single,Sales,Junior,1,3,140576,2,1,3,12,1,0
58,37,Female,Single,Sales,Senior,32,4,96260,2,2,2,32,2,0
59,24,Male,Married,HR,Senior,36,7,67225,1,4,3,7,4,0
60,42,Male,Married,Sales,Mid-Level,24,6,145459,4,4,1,18,3,0
61,22,Male,Married,Marketing,Senior,64,8,62787,3,3,2,8,5,0
62,54,Male,Married,Sales,Junior,27,8,155157,1,4,2,26,9,0
63,35,Female,Married,Engineering,Junior,46,5,141697,1,2,4,36,5,0
64,35,Female,Single,Sales,Mid-Level,26,4,62609,3,2,4,23,9,0
65,25,Male,Married,Engineering,Manager,15,3,50498,4,4,4,26,6,0
66,25,Male,Married,Engineering,Manager,43,4,47760,2,3,3,33,6,0
67,37,Female,Single,Sales,Junior,81,3,127341,1,3,3,1,5,0
68,35,Male,Single,HR,Junior,7,7,57321,3,2,2,22,1,0
69,28,Male,Single,Marketing,Mid-Level,15,7,44567,1,1,4,24,7,0
70,47,Male,Single,Marketing,Junior,77,6,137972,2,1,3,43,1,1
71,34,Female,Married,Sales,Mid-Level,56,7,94301,3,4,3,48,5,0
72,35,Male,Single,Engineering,Senior,55,2,126899,1,3,4,28,6,0
73,33,Male,Married,Sales,Mid-Level,19,5,91553,3,1,3,40,3,0
74,43,Female,Married,Sales,Mid-Level,82,6,55998,3,1,3,36,1,0
75,31,Male,Single,Engineering,Mid-Level,28,5,154001,1,1,3,12,3,0
76,46,Male,Married,Marketing,Mid-Level,82,0,90563,3,2,1,21,8,0
77,26,Female,Married,Engineering,Mid-Level,15,8,147726,1,3,4,30,6,0
78,29,Female,Single,Sales,Senior,77,9,108500,3,3,4,27,8,0
79,26,Female,Married,Engineering,Mid-Level,20,9,127152,3,2,3,40,2,0
80,49,Male,Married,Engineering,Mid-Level,67,7,129363,3,1,1,49,3,1
81,41,Female,Married,Engineering,Mid-Level,37,2,151662,3,2,3,29,7,0
82,27,Male,Married,Engineering,Junior,72,1,137169,4,1,4,27,9,0
83,40,Female,Married,Engineering,Senior,4,1,145092,3,4,4,34,2,0
84,32,Female,Single,Sales,Junior,75,7,51901,2,4,2,24,8,0
85,41,Male,Married,Marketing,Senior,55,5,60537,3,4,3,30,7,0
86,24,Male,Single,Sales,Mid-Level,80,9,82183,2,2,4,26,5,1
87,39,Male,Single,Engineering,Mid-Level,22,0,89144,1,4,3,23,9,0
88,25,Male,Married,Engineering,Mid-Level,21,2,151209,1,1,2,44,9,1
89,24,Female,Single,Engineering,Mid-Level,20,9,116544,2,1,2,2,6,1
90,34,Female,Divorced,Engineering,Junior,40,6,46967,1,2,4,45,7,0
91,22,Male,Married,Marketing,Mid-Level,31,0,122982,1,3,3,35,5,0
92,40,Female,Single,Engineering,Senior,33,2,111458,3,1,3,17,7,0
93,35,Female,Single,Marketing,Senior,79,5,153300,1,4,4,1,1,0
94,35,Male,Divorced,Sales,Senior,67,8,153594,4,4,4,42,1,0
95,33,Male,Married,Sales,Junior,66,7,150752,2,2,3,11,5,0
96,35,Male,Single,Engineering,Senior,82,0,121579,3,1,4,28,2,0
97,34,Female,Single,Marketing,Manager,78,7,133765,2,4,2,13,4,0
98,38,Male,Single,Marketing,Senior,11,2,75167,3,1,4,39,2,0
99,28,Male,Single,Engineering,Senior,9,5,40762,1,1,3,49,1,1
100,55,Male,Single,Sales,Manager,44,0,150220,2,3,3,19,2,0
101,31,Female,Single,Engineering,Mid-Level,66,9,139297,1,1,2,46,1,1
102,30,Male,Married,Sales,Junior,40,0,88532,3,4,3,25,1,0
103,35,Female,Divorced,Sales,Junior,53,1,55449,2,2,4,3,3,0
104,41,Male,Single,HR,Junior,53,9,104134,1,2,4,20,5,0
105,34,Male,Divorced,Engineering,Junior,74,2,137932,2,3,4,11,8,0
106,41,Female,Single,Sales,Senior,64,0,111907,1,4,3,25,4,0
107,41,Male,Married,Sales,Junior,51,8,125177,1,2,3,7,9,1
108,29,Male,Single,Engineering,Manager,78,8,131238,3,2,3,21,3,1
109,29,Male,Married,Engineering,Mid-Level,45,9,153753,3,4,2,36,7,0
110,27,Female,Single,Engineering,Junior,53,9,71496,1,3,2,40,8,1
111,33,Male,Single,Engineering,Manager,73,3,155597,3,2,4,27,3,0
112,45,Female,Single,Sales,Junior,25,9,99092,4,3,3,22,1,0
113,22,Female,Single,Marketing,Junior,9,8,83332,1,4,4,9,8,0
114,22,Female,Married,Marketing,Junior,3,8,64506,3,2,3,39,4,1
115,26,Female,Married,Sales,Mid-Level,35,7,140147,3,3,3,37,7,0
116,22,Female,Married,Sales,Mid-Level,71,8,158513,4,1,4,47,2,1
117,27,Female,Married,Sales,Senior,41,6,142748,1,3,4,21,6,0
118,47,Female,Married,Engineering,Senior,37,6,120154,2,1,1,3,1,1
119,50,Male,Single,Sales,Junior,9,8,85900,3,2,1,33,7,1
120,26,Female,Single,Engineering,Senior,33,6,149592,2,1,3,21,9,0
121,37,Male,Married,Sales,Junior,10,5,148409,2,2,4,48,7,0
122,33,Male,Single,HR,Manager,24,6,141100,4,2,3,9,5,0
123,29,Female,Married,Engineering,Mid-Level,72,9,111752,2,2,4,17,1,0
124,32,Male,Married,Marketing,Junior,7,3,51717,1,3,3,22,5,0
125,29,Male,Married,Engineering,Junior,16,9,62647,1,1,1,19,3,1
126,41,Female,Single,Marketing,Senior,34,8,50070,2,3,2,14,7,0
127,22,Male,Married,HR,Mid-Level,15,1,87422,2,2,1,35,5,0
128,36,Male,Single,HR,Mid-Level,46,7,99603,1,1,4,26,6,0
129,39,Male,Married,Engineering,Mid-Level,49,6,63090,3,2,3,49,5,0
130,42,Male,Married,Marketing,Manager,58,0,84507,4,2,3,30,7,0
131,26,Male,Single,Engineering,Senior,14,9,71970,3,4,3,24,8,0
132,24,Female,Single,Marketing,Mid-Level,43,3,53179,1,3,3,39,3,0
133,41,Female,Single,Sales,Manager,74,8,145080,2,4,3,7,7,0
134,44,Female,Single,Engineering,Manager,49,1,80533,3,4,3,26,7,0
135,42,Male,Married,Engineering,Senior,73,6,76276,2,2,3,30,1,1
136,30,Male,Married,Engineering,Mid-Level,2,0,77296,3,4,2,1,3,0
137,32,Male,Single,Engineering,Junior,75,5,52842,2,4,4,18,2,0
138,37,Male,Married,Sales,Mid-Level,42,2,157768,1,2,4,19,9,0
139,38,Female,Single,Engineering,Senior,79,6,121597,4,4,4,47,9,0
140,32,Female,Single,Engineering,Senior,35,1,67548,2,1,3,20,1,0
141,25,Male,Single,Marketing,Senior,36,8,60917,2,2,3,19,5,0
142,41,Female,Divorced,Marketing,Senior,14,8,95299,3,2,3,35,1,0
143,31,Male,Single,Engineering,Junior,81,4,156697,1,1,3,28,9,1
144,37,Male,Married,Marketing,Mid-Level,48,6,48391,3,1,3,28,5,0
145,47,Female,Single,HR,Mid-Level,65,1,57801,3,4,1,34,3,0
146,34,Female,Married,HR,Mid-Level,8,4,78274,2,1,4,16,5,0
147,33,Male,Single,Marketing,Junior,79,4,141007,2,4,2,48,3,0
148,39,Female,Married,Engineering,Mid-Level,82,5,67082,3,4,2,18,3,0
149,40,Female,Married,Marketing,Junior,11,9,77746,2,2,4,14,7,0
150,48,Female,Single,Sales,Manager,55,7,141300,1,4,3,44,5,0
151,56,Female,Single,Engineering,Senior,10,6,148640,3,1,2,6,9,1
152,39,Female,Single,Sales,Senior,42,6,63455,4,4,4,18,1,0
153,28,Female,Married,Sales,Junior,30,3,71168,1,1,3,37,2,0
154,40,Male,Married,Engineering,Junior,37,0,92537,1,3,4,18,8,0
155,25,Male,Single,Sales,Junior,32,7,63850,4,3,1,12,3,0
156,45,Male,Married,Sales,Senior,53,7,51219,4,4,2,12,1,0
157,30,Female,Married,Marketing,Junior,80,4,104296,2,1,4,3,6,0
158,25,Male,Single,Marketing,Mid-Level,67,0,51590,1,4,2,29,1,0
159,41,Male,Married,Marketing,Mid-Level,13,1,80411,2,3,2,42,7,0
160,56,Male,Divorced,Sales,Junior,27,1,103917,3,1,3,45,5,0
161,31,Male,Single,Sales,Senior,13,7,82160,2,1,4,29,2,0
162,28,Male,Single,Sales,Junior,45,8,44720,1,2,3,5,1,1
163,47,Male,Single,Engineering,Junior,24,1,64636,2,2,3,9,7,0
164,22,Female,Divorced,HR,Junior,20,3,139006,2,2,3,10,9,0
165,36,Male,Single,Sales,Manager,82,4,94510,1,3,3,37,1,0
166,38,Female,Single,Sales,Senior,10,9,68101,1,1,3,47,8,1
167,27,Male,Married,Marketing,Junior,27,4,154881,2,4,3,17,2,0
168,47,Female,Married,Engineering,Junior,65,9,119643,2,2,3,38,4,0
169,43,Female,Single,Sales,Senior,40,6,78717,3,3,2,30,8,0
170,43,Female,Married,HR,Mid-Level,67,3,51393,3,2,3,47,7,0
171,25,Male,Divorced,HR,Mid-Level,41,0,41316,2,1,4,13,6,0
172,38,Female,Married,Sales,Senior,70,0,58376,2,4,2,1,1,0
173,33,Female,Married,Engineering,Mid-Level,59,4,94433,3,4,3,42,4,0
174,44,Male,Single,Sales,Manager,62,5,41352,2,4,4,46,4,0
175,43,Male,Married,Marketing,Junior,7,5,116876,2,4,3,11,2,0
176,37,Male,Married,HR,Mid-Level,76,0,74954,1,1,3,40,5,0
177,41,Male,Single,Marketing,Manager,9,4,59301,3,3,4,37,7,0
178,28,Female,Married,Engineering,Junior,7,7,116410,2,2,3,2,2,0
179,25,Male,Married,Sales,Junior,28,2,59810,2,2,2,20,3,0
180,52,Male,Single,Sales,Mid-Level,78,7,111355,2,2,1,4,8,1
181,37,Male,Married,Sales,Junior,14,4,98586,1,2,3,35,6,0
182,43,Male,Single,Engineering,Junior,42,5,132037,3,1,4,47,8,0
183,39,Female,Divorced,Sales,Junior,12,0,118972,4,4,3,18,2,0
184,48,Female,Single,Engineering,Mid-Level,7,3,48971,2,3,3,29,4,0
185,38,Female,Married,Marketing,Manager,19,1,85830,4,4,2,21,1,0
186,45,Male,Single,Engineering,Junior,47,9,138040,3,3,3,14,4,0
187,42,Female,Single,Engineering,Manager,35,0,128710,1,1,4,1,1,0
188,29,Female,Married,Sales,Manager,79,4,135359,4,4,2,10,4,0
189,24,Female,Married,Engineering,Senior,74,8,112280,4,3,4,14,5,0
190,24,Male,Divorced,Engineering,Mid-Level,63,1,99738,1,3,4,28,2,0
191,36,Male,Married,HR,Junior,36,0,106624,4,1,2,12,3,0
192,46,Female,Divorced,HR,Junior,27,8,157147,1,3,3,38,6,0
193,32,Male,Single,Engineering,Mid-Level,68,1,107000,4,3,2,16,2,0
194,40,Female,Married,Engineering,Senior,44,2,42733,2,2,3,40,9,0
195,35,Male,Married,Marketing,Mid-Level,20,3,65756,1,4,4,48,2,0
196,33,Female,Single,Sales,Junior,69,7,131134,3,2,3,44,1,0
197,36,Male,Married,HR,Mid-Level,14,1,69532,2,1,4,44,1,0
198,31,Male,Single,Sales,Mid-Level,31,7,112923,2,3,2,19,3,0
199,30,Female,Divorced,Marketing,Mid-Level,56,1,46445,2,3,1,28,9,0
200,32,Male,Married,Engineering,Manager,54,8,44021,3,1,3,6,9,0
201,41,Female,Married,Sales,Junior,62,6,79720,3,3,3,34,6,0
202,42,Female,Divorced,Sales,Junior,66,9,78055,4,3,3,26,9,0
203,25,Male,Married,Engineering,Junior,5,4,45093,2,3,3,35,8,0
204,31,Female,Single,Engineering,Junior,4,8,63362,3,4,3,2,5,0
205,35,Male,Single,Engineering,Mid-Level,43,5,76009,2,3,4,10,3,0
206,22,Male,Married,Marketing,Senior,34,5,118317,2,1,4,8,3,0
207,24,Male,Married,Sales,Junior,51,8,99262,4,4,4,22,4,0
208,28,Male,Single,Engineering,Junior,62,9,78967,1,4,2,19,6,1
209,39,Female,Married,Engineering,Mid-Level,20,8,80452,2,1,2,1,5,1
210,43,Female,Single,Sales,Junior,24,2,77327,3,3,1,28,6,0
211,30,Male,Single,HR,Junior,49,6,81976,4,2,2,47,9,0
212,45,Male,Married,Engineering,Mid-Level,22,0,114821,3,4,3,30,9,0
213,22,Male,Married,Engineering,Senior,5,6,136695,2,3,3,30,2,0
214,36,Female,Married,Sales,Mid-Level,41,2,120079,3,1,4,33,6,0
215,30,Male,Single,Engineering,Mid-Level,77,6,154681,3,4,3,37,7,0
216,26,Female,Married,Engineering,Mid-Level,75,4,155420,3,4,3,3,6,0
217,46,Male,Married,Engineering,Manager,63,3,133445,4,2,2,16,2,0
218,27,Male,Single,Engineering,Manager,11,0,134453,4,4,3,15,5,0
219,32,Female,Married,Engineering,Junior,50,5,85861,4,1,2,48,9,1
220,39,Female,Married,Sales,Junior,59,7,47584,1,1,3,20,1,1
221,34,Female,Married,Engineering,Mid-Level,10,4,69050,3,2,3,49,6,0
222,38,Female,Married,Engineering,Junior,66,8,103442,1,2,3,41,9,1
223,36,Female,Married,Engineering,Manager,35,6,145443,2,1,3,18,3,1
224,42,Female,Single,Engineering,Senior,49,4,98282,3,4,3,8,1,0
225,30,Female,Single,HR,Mid-Level,9,8,83961,2,2,3,24,8,0
226,43,Male,Married,Engineering,Senior,26,5,136586,1,1,2,28,1,1
227,39,Female,Married,Engineering,Mid-Level,44,2,146561,2,4,3,26,4,0
228,44,Female,Married,Marketing,Senior,47,9,77762,3,4,4,6,7,0
229,22,Male,Married,Engineering,Mid-Level,61,1,65976,1,4,1,43,9,0
230,43,Male,Single,Engineering,Junior,67,7,56283,4,3,3,25,4,0
231,37,Female,Divorced,Sales,Junior,14,5,70607,2,2,4,45,1,0
232,24,Male,Single,Sales,Mid-Level,54,3,53296,4,2,3,25,1,0
233,34,Female,Single,Marketing,Junior,35,2,99346,3,1,3,18,3,0
234,27,Female,Married,Sales,Junior,83,1,42208,1,4,4,8,3,0
235,42,Male,Married,Sales,Mid-Level,40,4,123499,3,4,2,43,3,0
236,27,Male,Married,Engineering,Senior,1,3,120603,3,4,4,47,2,0
237,32,Male,Single,Engineering,Junior,36,8,42653,3,4,3,43,8,0
238,38,Male,Single,Engineering,Senior,28,2,97651,2,2,3,21,8,0
239,43,Male,Single,Engineering,Junior,26,1,128796,1,1,3,39,3,0
240,43,Female,Married,Sales,Junior,66,4,152037,1,2,4,12,6,0
241,41,Female,Married,Engineering,Mid-Level,53,4,41507,2,2,4,23,3,0
242,40,Female,Single,Engineering,Mid-Level,62,8,129371,3,1,4,25,9,0
243,40,Female,Married,Marketing,Junior,78,3,111368,4,4,2,26,8,0
244,38,Female,Married,Engineering,Mid-Level,31,0,153427,1,1,3,10,6,0
245,44,Female,Married,HR,Junior,81,8,49756,2,3,1,11,8,0
246,38,Male,Divorced,HR,Junior,70,7,117669,3,4,2,22,7,0
247,30,Female,Single,HR,Junior,16,4,102533,2,1,3,23,1,0
248,42,Male,Married,Sales,Junior,38,1,99404,1,3,3,17,1,0
249,46,Male,Single,Sales,Mid-Level,37,8,45148,1,4,1,20,2,1
250,24,Male,Single,Engineering,Mid-Level,60,7,138584,1,2,3,36,6,1
251,47,Male,Single,Sales,Senior,14,4,84519,3,4,2,16,9,0
252,43,Female,Married,Sales,Mid-Level,14,9,130258,1,3,3,24,5,0
253,35,Male,Divorced,Marketing,Junior,63,8,63504,4,4,4,46,5,0
254,37,Female,Married,Engineering,Senior,15,5,102235,3,1,4,47,1,0
255,50,Male,Married,Sales,Junior,66,8,129408,2,3,4,37,9,0
256,22,Male,Single,Engineering,Mid-Level,15,5,118747,4,2,4,10,9,0
257,25,Male,Single,Engineering,Junior,74,0,113492,2,2,2,45,6,0
258,43,Female,Single,Engineering,Mid-Level,5,9,89401,1,2,3,10,1,1
259,26,Female,Married,Marketing,Junior,22,2,60325,4,3,3,1,7,0
260,41,Female,Married,Marketing,Junior,57,4,88410,3,1,3,34,4,0
261,31,Male,Married,Sales,Senior,40,1,76369,4,1,2,5,8,0
262,40,Female,Married,Sales,Mid-Level,69,7,107091,2,4,4,38,7,0
263,26,Male,Single,Marketing,Senior,54,2,65239,4,4,4,44,4,0
264,28,Female,Single,Sales,Senior,64,5,45690,4,4,4,32,4,0
265,22,Male,Single,Marketing,Mid-Level,47,0,158985,1,1,3,40,3,0
266,43,Female,Married,Sales,Senior,48,5,95293,2,4,3,23,2,0
267,28,Female,Married,HR,Junior,9,9,74841,2,2,3,42,1,1
268,31,Male,Married,Marketing,Junior,73,3,137311,2,3,2,31,7,0
269,39,Male,Single,Sales,Senior,13,8,120875,4,2,4,2,4,0
270,39,Female,Single,Engineering,Senior,70,2,146515,4,1,2,10,2,0
271,28,Male,Married,Sales,Mid-Level,18,5,44699,2,4,3,30,8,0
272,37,Female,Single,Marketing,Junior,28,7,59751,2,1,3,16,4,0
273,35,Female,Single,Sales,Senior,9,1,147964,3,1,2,19,8,0
274,22,Female,Single,Sales,Mid-Level,28,0,136822,2,3,3,7,7,0
275,37,Female,Single,Engineering,Mid-Level,74,6,50106,3,3,3,21,9,0
276,39,Male,Married,Sales,Mid-Level,70,6,98520,3,3,2,8,4,0
277,39,Male,Single,Sales,Junior,54,8,146767,2,1,4,15,3,0
278,40,Male,Married,Marketing,Senior,75,2,141127,3,4,2,4,9,0
279,28,Female,Married,Sales,Mid-Level,31,7,144722,2,3,1,35,7,0
280,43,Male,Single,Engineering,Mid-Level,57,3,90100,2,2,3,40,2,0
281,36,Female,Single,Engineering,Junior,63,8,60641,1,3,1,45,6,1
282,31,Male,Married,Engineering,Junior,14,1,56708,3,3,2,1,3,0
283,39,Female,Married,Sales,Junior,58,8,112014,1,1,3,33,7,1
284,34,Male,Married,HR,Junior,61,6,149787,3,3,3,47,5,0
285,29,Male,Divorced,Sales,Senior,79,8,69018,1,4,4,12,8,0
286,38,Male,Single,Engineering,Junior,53,1,106578,2,3,1,34,7,0
287,25,Male,Single,Sales,Senior,15,5,145435,2,3,3,1,4,0
288,36,Male,Single,Engineering,Junior,1,6,156256,1,3,3,45,9,1
289,25,Male,Single,Engineering,Junior,21,1,63324,3,2,3,34,7,0
290,22,Male,Married,Sales,Senior,58,0,93291,2,2,3,43,9,0
291,37,Female,Single,Engineering,Junior,63,9,43328,4,3,4,32,8,0
292,22,Male,Divorced,Marketing,Mid-Level,56,0,157299,3,1,3,49,5,0
293,27,Male,Single,HR,Junior,5,7,69004,3,3,2,30,8,0
294,25,Female,Single,Marketing,Junior,56,1,95128,3,4,3,14,6,0
295,38,Female,Single,Marketing,Junior,18,8,97915,1,1,4,31,9,0
296,30,Male,Married,Sales,Senior,81,2,105586,2,2,3,45,9,0
297,41,Male,Single,Sales,Junior,36,5,85428,4,1,4,9,9,0
298,26,Female,Married,Marketing,Mid-Level,59,9,139002,4,4,3,22,4,0
299,40,Male,Single,Sales,Junior,54,1,114292,3,2,3,12,2,0
300,32,Female,Single,Sales,Junior,47,6,87287,4,1,4,14,1,0
301,37,Male,Divorced,Engineering,Junior,53,5,62454,1,2,3,15,4,0
302,36,Male,Married,Sales,Senior,1,6,114038,4,4,3,44,8,0
303,22,Female,Married,Engineering,Junior,34,1,59824,4,4,3,12,7,0
304,33,Female,Single,Sales,Junior,80,6,77049,1,3,1,36,2,1
305,31,Female,Single,Sales,Mid-Level,9,4,73415,3,4,4,40,7,0
306,28,Male,Married,Sales,Junior,41,0,137879,4,1,3,9,9,0
307,25,Male,Single,Marketing,Junior,24,4,83298,3,4,3,2,2,0
308,31,Male,Single,Sales,Manager,7,7,76801,2,4,2,15,9,0
309,40,Male,Single,Sales,Senior,67,3,80521,2,1,3,45,4,0
310,40,Female,Married,HR,Mid-Level,4,1,42471,4,1,1,37,3,0
311,38,Male,Single,Sales,Junior,44,5,116414,2,2,3,31,7,0
312,46,Male,Married,Marketing,Junior,12,0,156330,1,3,1,14,3,0
313,42,Female,Single,Engineering,Senior,35,6,135763,2,1,2,18,9,0
314,43,Male,Married,Marketing,Junior,54,4,88060,3,1,2,30,6,0
315,22,Female,Single,Sales,Junior,69,8,69748,1,4,3,43,5,0
316,22,Male,Married,Engineering,Manager,58,6,110799,2,2,4,3,7,0
317,22,Male,Divorced,Engineering,Junior,62,0,126374,2,3,2,33,9,0
318,33,Female,Single,Engineering,Senior,30,4,99425,1,3,4,44,1,0
319,38,Female,Single,Engineering,Manager,83,9,83946,2,2,3,1,5,1
320,47,Male,Single,Marketing,Manager,38,5,78582,3,3,3,30,2,0
321,35,Male,Married,Sales,Junior,13,2,133673,3,3,2,41,8,0
322,43,Female,Divorced,Sales,Mid-Level,29,4,86669,3,3,3,27,6,0
323,31,Female,Single,Sales,Junior,18,1,48019,2,1,4,7,2,0
324,36,Female,Divorced,Engineering,Junior,51,9,156399,2,4,1,10,6,0
325,24,Female,Single,Marketing,Mid-Level,9,8,41139,2,3,3,14,3,1
326,36,Female,Divorced,Sales,Junior,28,3,75592,2,4,2,11,9,0
327,23,Male,Married,Engineering,Junior,66,3,132746,4,1,3,48,5,0
328,46,Male,Married,Marketing,Junior,34,0,119909,3,4,4,46,7,0
329,34,Female,Married,Engineering,Mid-Level,68,6,59512,3,2,4,11,3,0
330,25,Male,Single,Marketing,Senior,37,2,61202,4,1,4,31,6,0
331,39,Female,Married,Engineering,Junior,3,6,143644,3,3,3,38,3,0
332,41,Female,Single,Engineering,Mid-Level,15,5,58826,4,3,4,33,9,0
333,40,Male,Single,Sales,Junior,11,0,153159,4,4,4,22,2,0
334,33,Female,Single,HR,Mid-Level,79,9,101984,3,2,2,22,6,1
335,41,Female,Single,Sales,Junior,59,7,100733,1,2,1,38,8,1
336,25,Male,Single,Engineering,Manager,66,8,128594,3,1,4,10,4,1
337,31,Female,Divorced,Sales,Junior,45,5,101564,1,2,4,7,8,0
338,22,Female,Single,Engineering,Junior,8,1,74825,3,3,2,2,5,0
339,36,Female,Divorced,Sales,Mid-Level,25,2,86277,1,3,2,11,8,0
340,40,Male,Married,HR,Senior,41,7,141777,4,2,4,25,8,0
341,32,Female,Single,Sales,Junior,51,7,148994,2,2,4,14,7,0
342,25,Male,Single,Engineering,Junior,74,8,63733,3,3,4,35,9,1
343,32,Female,Married,HR,Senior,42,5,50797,2,2,3,31,8,1
344,39,Male,Married,Sales,Junior,6,1,144549,2,1,3,15,7,0
345,27,Male,Married,HR,Manager,36,5,83159,2,1,4,46,6,0
346,50,Male,Married,Marketing,Junior,41,8,108013,2,4,3,32,4,0
347,25,Male,Married,Marketing,Mid-Level,21,1,72186,2,1,1,10,9,0
348,32,Female,Single,Marketing,Mid-Level,11,6,58470,4,1,3,20,8,0
349,27,Female,Divorced,Sales,Senior,47,1,133973,3,2,4,3,9,0
350,38,Male,Married,Engineering,Manager,6,2,135465,1,4,4,8,7,0
351,41,Male,Single,HR,Junior,5,8,104043,4,2,2,5,2,0
352,28,Female,Single,Sales,Mid-Level,19,6,138373,2,3,1,48,2,1
353,33,Female,Single,HR,Mid-Level,30,9,85384,2,3,1,17,9,0
354,29,Male,Married,Engineering,Mid-Level,37,4,129519,2,3,4,47,6,0
355,38,Male,Single,Marketing,Mid-Level,80,9,129051,2,4,3,14,4,0
356,39,Female,Single,HR,Manager,18,0,42551,3,4,3,10,1,0
357,27,Female,Single,Engineering,Mid-Level,23,5,155528,1,2,4,7,6,0
